Date,Close,High,Low,Open,Volume
1/11/19,3623.73999,3633.639893,3607.679932,3610.219971,27786500
4/11/19,3665.209961,3671.810059,3631.449951,3631.449951,41802200
5/11/19,3676.52002,3678.629883,3661.209961,3666.540039,48161300
6/11/19,3688.73999,3692.199951,3671.23999,3675.429932,42297600
7/11/19,3706.679932,3708.649902,3694.969971,3694.969971,44578300
8/11/19,3699.649902,3706.909912,3687.98999,3703.350098,42034700
11/11/19,3696.820068,3702.780029,3683.330078,3696.969971,31571600
12/11/19,3712.199951,3719.399902,3700.110107,3700.48999,34975300
13/11/19,3699.5,3710.73999,3679.629883,3710.73999,39598100
14/11/19,3688.810059,3702.939941,3687.27002,3699.72998,31667000
15/11/19,3711.610107,3713.26001,3690.060059,3698.060059,33449500
18/11/19,3704.919922,3716.790039,3687.300049,3711.179932,29746000
19/11/19,3696.560059,3733.449951,3688.590088,3704.879883,29828000
20/11/19,3683.879883,3688.860107,3663.209961,3688.860107,30770900
21/11/19,3679.659912,3688.370117,3651.51001,3675.75,30184400
22/11/19,3687.320068,3709.879883,3682.219971,3682.219971,31889400
25/11/19,3707.679932,3710.870117,3697.48999,3697.48999,23575400
26/11/19,3705.550049,3711.75,3694.699951,3708.429932,42776200
27/11/19,3712.850098,3721.76001,3704.48999,3708.709961,27538400
28/11/19,3704.47998,3708.159912,3698.219971,3707.050049,20880800
29/11/19,3703.580078,3719.830078,3686.939941,3699.340088,28771400
2/12/19,3626.659912,3729.73999,3623.120117,3703.76001,44663300
3/12/19,3610.98999,3647.52002,3594.800049,3635.149902,37666800
4/12/19,3660.02002,3665.899902,3611.949951,3611.949951,32156300
5/12/19,3648.129883,3683.070068,3648.129883,3663,25377700
6/12/19,3692.340088,3692.709961,3653.22998,3653.22998,29106900
9/12/19,3672.179932,3691.860107,3671.070068,3691.860107,26448800
10/12/19,3671.780029,3675.879883,3625,3671.969971,28580800
11/12/19,3687.449951,3692.110107,3659.530029,3667.449951,26621200
12/12/19,3706.350098,3723.600098,3675.629883,3689.669922,40502800
13/12/19,3731.070068,3765.699951,3720.649902,3720.649902,49284900
16/12/19,3772.73999,3778.469971,3738.909912,3738.909912,30015600
17/12/19,3745.280029,3769.139893,3742.620117,3769.139893,37228600
18/12/19,3739,3755.810059,3739,3744,33479600
19/12/19,3739.169922,3747.340088,3722.570068,3741.530029,35609900
20/12/19,3776.560059,3776.560059,3738.219971,3740.709961,84848100
23/12/19,3776.659912,3778.97998,3767.800049,3775.070068,23064700
27/12/19,3782.27002,3794.929932,3775.26001,3776.820068,24437900
30/12/19,3748.469971,3780.439941,3748.469971,3780.439941,18684000
3/01/20,3773.370117,3787.570068,3745.540039,3787.570068,30343400
6/01/20,3752.52002,3764.340088,3710.939941,3764.340088,28339400
7/01/20,3759.25,3784.419922,3748.129883,3760.090088,29853300
8/01/20,3772.560059,3775.429932,3732.899902,3752.870117,34988400
9/01/20,3795.879883,3807.090088,3782.77002,3782.77002,33480100
10/01/20,3789.52002,3803.909912,3786.929932,3801.120117,27400900
13/01/20,3779.679932,3798.580078,3768.449951,3789.870117,27508600
14/01/20,3774.879883,3783.76001,3745.469971,3779.350098,33071500
15/01/20,3768.959961,3778.939941,3755.300049,3774.929932,33409000
16/01/20,3774.139893,3785.669922,3758.550049,3770.959961,17583900
17/01/20,3808.26001,3813.800049,3780.540039,3780.540039,33003100
20/01/20,3799.030029,3805.610107,3791.51001,3804.73999,20831600
21/01/20,3789.120117,3789.120117,3760.360107,3786.26001,27585100
22/01/20,3769.790039,3802.679932,3765.48999,3792.050049,32477100
23/01/20,3736.850098,3770.01001,3734.060059,3764.100098,33330600
24/01/20,3779.159912,3795.330078,3744.75,3744.75,31726500
27/01/20,3677.840088,3754.629883,3673.800049,3754.629883,44844200
28/01/20,3719.219971,3722.709961,3671.73999,3684.689941,37478400
29/01/20,3736.360107,3743.26001,3715.73999,3717.639893,36474700
30/01/20,3690.780029,3717.929932,3676.659912,3717.929932,42455300
31/01/20,3640.909912,3705.330078,3639.439941,3697.669922,49702300
3/02/20,3661.27002,3673.280029,3641.840088,3646.860107,32500600
4/02/20,3732.280029,3732.280029,3670.97998,3670.97998,45379700
5/02/20,3777.840088,3782.850098,3717.719971,3727.219971,56845600
6/02/20,3805.52002,3808.73999,3790.540039,3791.070068,52514600
7/02/20,3798.48999,3806.060059,3782.209961,3804.860107,39161600
10/02/20,3793.179932,3794.179932,3779.100098,3794.179932,28458100
11/02/20,3825.840088,3832.060059,3804.459961,3804.459961,38624600
